name,place,manager,ranking,flag,managerPhoto
Germany,winner,Joachim Low,2,germany.png,low.png
Argentina,runner up,Alejandro Sabella,5,argentina.png,sabella.png
France,semi,Didier Deschamps,17,france.png,deschamps.png
Belgium,semi,Marc Wilmots,11,belgium.png,wilmots.png
Nigeria,quarter,Stephen Keshi,44,nigeria.png,keshi.png
Algeria,quarter,Vahid Halilhodzic,22,algeria.png,halilhodzic.png
Switzerland,quarter,Ottmar Hitzfeld,6,switzerland.png,hitzfeld.png
USA,quarter,Jurgen Klinsmann,13,usa.png,klinsmann.png
